anio,potencia_hp,cilindrada_cm3,peso_kg,puertas,airbags,tipo_combustible,largo_mm,ancho_mm,alto_mm,traccion,transmision_automatica,torque_nm,seguridad_esp_abs,consumo_litros_100km,emisiones_co2_g_km,cero_a_cien_seg,capacidad_baul_litros,rango_precio
2018,199,1668,1524,4,7,0,5200,1697,1579,1,0,158,1,4.98,105,10.38,467,2
2017,60,1072,1244,5,9,1,4994,1781,1449,1,0,102,1,3.5,75,11.92,258,0
2017,83,1451,871,4,2,0,3608,1818,1431,0,1,230,1,3.68,99,11.36,441,1
2012,93,1774,1387,4,4,1,4519,1788,1472,1,1,252,1,4.91,106,13.2,344,0
2024,125,2073,1030,3,9,0,4780,1911,1284,1,1,280,1,3.5,82,11.88,432,2
2006,130,2077,1804,5,5,1,4445,1836,1354,1,0,198,1,6.44,114,12.48,471,1
2011,80,2138,1444,4,6,1,4362,1771,1420,0,0,267,0,4.99,115,12.81,469,1
2007,101,1478,1174,4,2,1,4420,1839,1393,0,1,249,1,3.5,89,11.6,390,1
2011,106,1970,1225,5,8,0,4666,1784,1322,2,0,299,1,5.94,146,13.21,398,1
2024,238,1362,928,2,4,1,4155,1784,1519,0,0,217,1,3.5,75,10.14,454,3
2012,212,1490,1125,4,9,0,4857,1884,1471,0,0,116,0,4.48,92,10.98,253,3
2023,124,1341,1654,4,4,1,4483,1708,1461,2,1,216,0,3.63,77,13.75,293,1
2014,125,1206,1958,4,3,0,4219,1782,1394,0,0,225,1,4.96,101,13.83,349,0
2018,94,2332,1582,4,6,0,4837,1875,1456,0,1,251,0,6.39,189,13.15,268,2
2014,64,2144,1377,4,5,0,4036,1805,1491,1,0,128,1,6.19,127,12.68,347,0
2010,135,2288,1292,3,5,1,4333,1750,1429,1,0,201,1,3.5,75,12.54,347,2
2020,100,1820,1161,2,9,0,4328,1644,1486,2,1,272,0,4.82,97,12.24,383,2
2024,137,2188,1915,3,4,0,5143,1600,1386,1,1,214,0,6.26,142,12.84,385,2
2010,76,919,1353,5,5,0,4294,1946,1458,0,1,202,1,3.5,92,14.07,474,0
2020,110,2232,1929,4,6,1,3854,1805,1541,0,1,334,1,6.24,132,13.08,420,1
2010,146,1889,1748,4,3,0,4325,1733,1549,0,0,156,1,6.81,145,11.5,371,1
2019,155,2114,965,4,8,0,4637,1808,1556,2,0,294,1,3.5,75,11.47,354,2
2020,157,1990,1234,5,3,0,4735,1704,1473,0,0,281,1,3.5,90,10.95,380,1
2013,87,1306,1233,3,3,0,5183,1754,1453,0,0,206,1,5.23,113,12.48,391,0
2019,174,1051,1380,4,2,0,4922,1705,1414,0,1,218,1,3.5,75,12.86,614,1
2010,108,1444,1385,4,4,1,4556,1667,1305,0,1,218,0,4.68,75,11.75,247,0
2006,165,2082,2149,4,6,1,4233,1612,1342,0,0,231,1,5.59,115,13.09,289,1
2006,140,2145,1131,5,7,0,4987,1652,1437,1,0,184,1,4.94,103,12.27,292,1
2013,85,1116,1457,5,9,0,4389,1862,1441,0,1,194,1,4.66,77,13.4,403,1
2023,127,1309,1554,5,8,0,4303,1701,1563,2,1,199,1,5.23,131,12.58,397,3
2007,155,1438,1400,3,4,0,4375,1823,1555,2,0,201,1,5.87,120,13.17,327,0
2014,165,1621,1428,2,8,0,4124,1857,1395,0,0,201,0,4.08,113,11.62,453,2
2019,134,1119,1139,3,3,1,4360,1781,1515,2,0,100,1,3.5,87,11.71,411,1
2009,201,1089,1427,5,3,0,4430,1756,1412,0,0,226,1,3.5,75,12.23,462,3
2019,180,1389,1528,5,4,0,4719,1791,1505,0,0,188,1,3.55,93,12.28,493,2
2011,130,1843,1482,5,6,1,4384,1747,1514,0,0,108,0,3.95,101,13.0,186,0
2021,170,1210,1543,4,3,0,4120,1876,1549,1,0,199,1,4.79,97,11.31,436,3
2016,217,1742,1753,5,9,0,4019,1930,1411,1,0,197,1,7.11,134,12.44,255,3
2015,218,2329,1634,4,4,0,4563,1896,1531,0,0,297,1,7.52,117,11.55,406,3
2008,91,1149,1418,5,5,0,4522,1608,1300,1,0,188,1,4.13,96,12.1,371,0
2014,103,1697,1107,4,6,1,4334,1745,1554,1,0,260,1,3.5,75,11.91,375,3
2022,199,2312,1250,3,5,1,4360,1780,1448,1,1,303,0,4.61,102,11.33,269,3
2005,98,1591,1345,2,5,0,4617,1817,1450,0,1,182,1,5.34,108,13.73,475,1
2020,87,1513,1463,5,9,0,4917,1642,1287,1,0,217,1,4.42,87,12.91,269,0
2014,121,2382,1280,4,5,0,4266,1641,1419,1,0,324,1,5.11,104,11.44,441,2
2019,157,1647,1166,4,2,0,4527,1885,1558,0,1,234,1,3.74,75,10.94,254,3
2018,136,2352,1103,4,7,0,4787,1735,1416,1,0,242,1,4.2,85,11.35,383,3
2013,114,2014,987,4,7,0,4267,1661,1507,0,1,196,0,3.56,75,10.9,537,2
2011,113,1629,1341,5,3,0,4495,1692,1453,1,1,261,0,4.48,98,12.0,592,0
2017,112,2040,1033,2,8,1,4489,1811,1535,1,0,218,1,3.5,75,11.38,235,1
2007,105,1960,1150,3,5,1,4107,1714,1465,0,0,110,1,3.5,75,11.59,308,0
2016,231,2310,1302,5,3,0,4551,1799,1375,0,0,199,0,5.68,144,11.07,333,2
2006,152,1526,1066,4,3,0,4509,1702,1455,1,1,149,1,4.21,91,10.97,582,1
2017,175,1821,1495,3,7,0,4667,1640,1578,1,0,227,1,6.55,174,10.21,377,3
2017,120,1769,1585,2,3,0,4144,1894,1490,1,1,165,1,5.56,126,11.82,471,2
2006,133,2152,1263,4,5,0,4503,1812,1441,1,0,249,1,4.68,104,11.72,407,1
2020,111,1287,1291,4,7,0,4915,1753,1630,0,1,223,1,3.5,75,12.0,282,0
2013,60,2308,1534,2,8,1,5123,1738,1543,0,1,145,1,5.01,113,12.71,226,2
2020,85,2033,1222,4,5,0,4884,1897,1515,1,0,190,1,4.79,106,13.4,334,0
2005,68,1142,1204,5,9,0,4147,1827,1475,0,1,257,1,3.66,90,13.19,582,0
2008,60,2404,1699,5,4,0,4635,1872,1508,1,1,289,1,5.33,143,13.74,407,3
2014,92,2917,1621,5,8,0,4355,1733,1511,0,0,166,0,6.02,119,13.08,472,0
2008,193,2301,1550,4,4,0,4585,1784,1275,0,1,154,1,5.98,143,11.72,252,2
2011,138,2513,1631,4,2,0,4268,1812,1482,1,1,337,1,6.92,164,11.95,347,2
2018,192,1843,906,5,7,1,3986,1736,1437,1,0,219,0,3.5,78,10.93,439,0
2007,156,969,1738,5,8,1,4397,1772,1410,1,1,225,1,4.64,91,13.21,279,0
2018,171,878,1498,4,9,1,4717,1733,1434,0,1,176,1,3.5,75,10.86,378,2
2007,104,1928,1653,4,9,0,4586,1812,1326,1,1,233,1,5.57,113,13.29,302,0
2008,161,1504,1497,4,2,0,4621,1674,1306,0,1,323,1,4.54,92,12.36,454,2
2016,169,1343,1412,4,6,0,4565,1826,1550,1,0,235,0,3.76,75,11.4,419,1
2020,117,1769,1331,4,7,0,4621,1805,1487,1,0,284,0,4.52,98,13.32,445,2
2008,162,2108,1492,2,6,0,4659,1764,1257,0,0,222,1,6.5,128,13.03,459,0
2010,163,1074,1322,5,2,1,4418,1816,1404,1,1,158,0,4.15,92,11.56,358,1
2023,118,1576,1617,4,2,0,4525,1751,1520,0,0,179,1,4.09,91,12.48,471,2
2024,95,2555,1003,4,7,0,5023,1726,1428,0,0,153,1,3.94,89,11.46,337,2
2016,93,1262,1265,4,8,0,4543,1823,1550,1,0,233,1,3.5,75,11.85,439,1
2013,143,2235,1911,5,3,0,4513,1827,1534,0,1,293,1,6.92,154,12.65,204,1
2011,153,1558,1243,5,2,0,4531,1739,1341,2,0,230,1,4.69,100,11.75,312,1
2017,108,2073,1340,2,5,0,4435,1733,1439,0,0,202,0,6.09,148,13.36,587,2
2016,141,2349,1179,4,4,0,4369,1765,1414,0,0,173,1,3.5,75,12.4,432,1
2010,163,2171,1484,4,9,0,4563,1736,1339,1,0,241,1,4.7,109,12.29,435,3
2005,165,2255,1216,5,9,1,4348,1902,1334,0,0,146,1,4.32,75,9.81,303,3
2008,202,1224,1354,4,6,0,4456,1805,1386,2,0,152,1,3.5,84,9.97,280,0
2024,191,2357,1612,5,9,0,4263,1781,1399,0,1,274,1,5.86,119,12.67,351,3
2013,100,1374,1225,4,3,0,4532,1705,1473,0,0,203,0,4.41,85,13.02,374,0
2014,207,1930,1597,2,9,1,4675,1839,1534,0,0,202,0,3.73,75,11.84,557,1
2014,119,1929,1606,3,5,0,4436,1731,1491,0,1,210,1,5.68,104,12.7,470,2
2020,182,2043,1664,3,5,0,3897,1728,1510,0,0,264,1,4.72,97,12.76,378,3
2006,143,1968,1435,4,2,0,4677,1842,1429,0,0,230,1,6.44,171,12.41,390,1
2006,124,1378,2210,4,3,0,4536,1811,1498,0,0,175,0,7.24,145,14.41,450,0
2010,68,1125,1664,5,3,0,4202,1600,1438,0,0,178,1,4.55,75,12.2,253,0
2014,133,2236,1481,3,5,0,4732,1767,1415,0,0,208,1,4.52,104,12.37,211,0
2018,78,1893,1181,5,3,0,4080,1790,1602,0,1,238,1,4.46,83,13.59,440,1
2014,179,2375,1376,3,2,1,4814,1753,1264,0,0,218,1,5.62,131,11.72,391,1
2013,201,1778,1757,4,6,0,4483,1793,1300,0,1,213,1,5.29,110,12.77,260,3
2023,108,1097,1827,5,8,0,3819,1635,1481,0,1,223,0,4.79,101,13.48,180,0
