anio,potencia_hp,cilindrada_cm3,peso_kg,puertas,airbags,tipo_combustible,largo_mm,ancho_mm,alto_mm,traccion,transmision_automatica,torque_nm,seguridad_esp_abs,consumo_litros_100km,emisiones_co2_g_km,cero_a_cien_seg,capacidad_baul_litros,rango_precio
2013,125,1746,1507,4,3,0,4503,1760,1422,0,1,329,1,5.08,125,12.13,336,0
2014,157,2157,1327,4,9,0,4779,1808,1417,0,0,223,0,4.81,111,11.56,329,1
2015,142,2112,1419,5,2,0,4000,1755,1255,0,0,278,1,4.92,121,12.03,300,2
2016,142,1789,1500,3,7,0,4766,1907,1395,2,0,192,1,4.86,107,12.04,284,2
2016,129,2266,996,4,4,0,4755,1802,1544,0,1,214,0,4.33,98,11.48,412,1
2015,68,1841,1211,5,8,0,4341,1782,1408,1,0,204,1,4.79,123,12.59,369,0
2024,131,2248,1203,5,3,0,4545,1842,1440,0,1,180,1,4.65,101,12.34,539,2
2021,60,1098,1352,5,4,0,4410,1843,1388,0,1,241,0,3.5,75,13.64,183,0
2020,155,1013,1334,3,3,0,4518,1873,1390,0,1,173,1,3.94,77,12.4,366,2
2019,111,2188,1339,4,4,1,4739,1830,1439,0,0,214,1,4.58,91,12.2,388,1
2017,111,1105,1185,2,8,0,4249,1778,1337,0,0,244,1,3.5,75,11.03,419,1
2011,131,1649,1572,2,8,0,4810,1792,1431,0,0,341,0,5.43,109,11.92,404,0
2024,151,1751,1473,5,9,0,4759,1614,1311,0,1,111,1,4.43,87,11.99,588,3
2014,83,1556,993,2,3,1,4770,1667,1471,1,1,224,1,3.5,75,12.29,312,1
2009,70,1573,1407,2,9,1,3893,1862,1318,0,0,258,1,3.5,75,13.24,215,0
2021,97,2496,1122,3,8,0,3926,1756,1496,0,1,200,1,3.96,86,11.97,415,1
2008,60,800,1829,5,6,0,4704,1922,1525,0,0,270,1,5.23,115,13.47,306,0
2022,101,2242,1290,4,6,0,4315,1921,1314,0,0,250,1,4.42,104,12.2,386,2
2017,204,2948,1305,4,6,0,4283,1684,1498,2,0,248,1,5.35,129,11.04,344,3
2007,98,1812,1425,4,8,1,4260,1805,1411,2,1,196,1,3.89,93,13.0,558,1
2005,166,1791,1354,5,2,0,4084,2005,1536,2,0,208,0,5.15,111,11.82,281,2
2013,85,2163,1389,4,9,0,4406,1720,1400,2,1,207,1,5.7,109,12.72,517,2
2005,152,2714,1791,2,2,0,4273,1812,1420,0,1,163,1,6.71,158,11.82,411,0
2007,127,1206,1461,4,2,1,4293,1763,1419,0,0,230,1,3.94,86,12.03,388,0
2015,138,1844,1613,3,8,0,4639,1763,1543,0,1,159,1,5.25,111,11.43,390,1
2024,163,1707,1686,4,5,0,4133,1760,1288,1,0,167,1,5.41,128,12.15,274,3
2014,210,2080,1161,4,6,0,4836,1780,1504,0,0,141,1,4.92,128,11.67,387,3
2021,148,1880,1827,2,5,0,3816,1840,1450,0,0,283,1,6.09,139,13.17,375,2
2023,145,2130,1576,4,6,0,5200,1719,1403,0,0,188,0,5.34,113,12.36,357,2
2021,101,1589,1644,5,7,0,4079,1820,1423,0,1,169,0,4.62,104,14.01,256,1
2017,163,1825,1189,4,8,1,4671,1727,1517,1,0,265,1,3.86,75,10.8,331,3
2013,130,1465,1609,3,7,0,4772,1822,1508,0,0,196,1,5.94,155,12.62,361,0
2015,173,1468,1508,5,8,0,4492,1806,1578,1,0,239,1,3.85,75,11.95,361,3
2010,138,1729,1270,4,8,0,4720,1721,1391,0,0,210,1,4.76,95,11.41,250,0
2014,210,1729,1975,4,7,1,4460,1792,1291,1,0,241,1,5.58,128,12.0,387,3
2012,61,1214,1546,4,8,0,3956,1724,1398,2,1,231,1,4.11,89,13.69,467,0
2009,128,2585,1345,4,2,1,4598,1716,1426,0,0,100,1,5.62,104,12.05,363,1
2024,175,1732,1453,4,9,1,4842,1872,1407,2,1,304,1,4.06,92,11.63,513,3
2005,126,1108,1632,5,6,0,4325,1640,1540,0,1,277,1,6.1,149,12.75,397,0
2006,108,2351,1687,2,5,0,3975,1825,1624,1,1,137,1,6.08,114,13.4,327,1
2008,129,1426,1550,5,8,1,4309,1836,1472,0,1,271,1,4.04,90,12.52,282,0
2024,85,2054,1709,4,4,1,4592,1735,1299,0,1,207,1,4.17,95,13.15,266,1
2018,145,1791,1772,2,8,0,4585,1866,1525,0,0,227,1,5.84,151,12.76,314,1
2022,238,1925,1096,3,4,0,4831,1852,1390,0,0,293,1,3.5,81,10.09,366,3
2009,186,1886,1283,4,9,0,4663,1681,1445,1,0,277,1,4.54,107,11.19,281,3
2019,96,1512,1170,4,9,1,4648,1822,1509,0,0,276,1,3.5,75,11.52,355,1
2012,105,1820,1429,4,6,0,3882,1818,1471,2,0,335,0,5.24,123,12.38,522,2
2014,124,2817,1766,4,8,1,5174,1724,1436,2,1,282,1,6.6,160,12.95,213,3
2005,180,800,1568,5,6,1,4508,1826,1465,1,1,186,1,3.85,86,11.45,400,2
2017,107,1833,1144,5,5,0,4757,1840,1502,0,1,147,0,4.36,91,12.67,396,0
2021,112,2017,1332,4,2,1,4387,1725,1492,1,1,268,0,3.76,78,12.43,407,2
2018,175,1274,1662,5,4,0,4447,1627,1607,1,1,122,1,4.34,113,12.37,404,2
2008,175,1115,1272,4,6,0,4512,1813,1202,0,0,200,1,4.16,81,11.59,373,2
2015,125,2879,1381,4,3,0,4975,1724,1379,0,0,199,1,5.77,120,12.62,353,1
2010,95,1614,1481,5,6,1,4957,1648,1395,1,0,180,1,3.8,75,13.03,363,0
2024,78,2839,950,4,4,0,4682,1752,1507,0,1,297,1,3.67,91,11.74,299,1
2022,112,2068,1600,4,9,0,5100,1600,1459,0,0,238,1,6.03,122,12.75,323,1
2008,60,1838,1491,5,3,0,4373,1755,1510,1,0,207,0,4.5,95,12.83,382,0
2015,170,2038,1547,5,9,0,4652,1898,1327,1,0,271,1,5.06,111,11.77,386,3
2023,115,2118,1160,5,8,0,4355,1600,1424,2,1,197,1,4.32,100,12.15,387,3
2021,159,2390,1213,5,2,0,4890,1817,1493,2,1,289,1,4.93,115,12.05,320,3
2019,215,2018,1256,4,7,0,4505,1710,1437,0,0,337,1,4.56,90,10.31,268,3
2017,187,1872,1468,5,3,0,4794,1749,1409,2,1,213,1,4.26,84,12.05,572,3
2005,94,1888,1423,4,5,1,5022,1711,1463,0,1,211,1,4.97,90,12.93,432,0
2019,175,2476,1437,4,5,0,3861,1831,1573,0,0,286,1,5.39,131,11.17,446,2
2014,186,2208,1853,4,3,0,5159,1781,1273,0,0,108,1,5.87,126,13.44,410,1
2006,110,1299,1731,4,8,0,4593,1721,1568,1,0,148,1,6.07,136,12.9,446,0
2009,102,1482,1225,5,7,0,4397,1680,1464,1,0,161,1,4.07,90,12.51,465,1
2015,136,1965,1242,5,3,0,3909,1748,1373,0,0,128,1,3.58,75,11.64,489,1
2019,76,1489,1834,4,5,0,4403,1871,1494,2,0,220,1,4.36,82,13.71,372,2
2015,199,1612,1326,4,8,0,3791,1687,1445,0,0,237,0,4.29,85,11.43,411,3
2017,60,1322,1750,4,7,0,4522,1814,1538,1,0,218,0,4.99,130,13.61,457,0
2022,96,1669,1805,5,6,0,4443,1808,1377,0,1,218,1,5.79,123,13.52,237,1
2018,129,2012,1269,4,6,1,5054,1626,1519,2,0,272,1,3.78,83,12.3,389,3
2012,131,2298,1338,4,9,1,4395,1867,1369,2,1,281,1,4.0,76,12.6,410,3
2017,147,1805,1426,4,6,1,4824,1778,1467,0,1,291,1,4.21,109,13.13,304,2
2016,151,2837,1189,2,4,1,4853,1955,1497,0,1,212,1,4.46,94,11.75,334,1
2007,131,1762,1161,4,5,0,5129,1917,1435,0,1,221,1,3.75,75,11.1,494,0
2006,185,3397,1305,4,5,0,4420,1762,1493,2,1,304,1,6.74,142,10.87,416,3
2018,60,2301,1618,4,3,0,4730,1769,1394,0,0,243,1,5.94,135,13.54,378,0
2012,140,2048,1293,4,2,0,4030,1703,1526,0,1,295,1,4.71,113,11.56,321,1
2016,111,1550,1353,5,9,1,4156,1674,1401,0,0,193,1,3.73,76,11.61,386,0
2011,145,800,1289,5,6,0,4413,1843,1385,0,1,217,1,3.5,82,12.36,679,1
2009,149,1722,1064,4,9,0,4489,1762,1432,0,1,183,1,3.5,79,10.75,390,1
2008,104,1889,1776,4,8,0,4124,1750,1437,1,0,219,1,6.16,138,12.46,282,0
2012,114,2761,850,3,7,1,4370,1768,1374,0,1,244,0,3.5,75,11.46,227,1
2021,172,1110,1241,4,6,0,4712,1834,1505,0,1,194,1,4.17,95,11.96,481,2
2013,154,2753,1545,2,5,0,4357,1855,1432,0,0,332,1,6.35,154,12.38,422,2
2012,113,1674,1056,2,6,1,4449,1781,1490,2,0,135,1,3.5,75,11.1,295,2
2016,222,2162,1556,4,8,1,4224,1766,1322,0,0,269,1,5.65,115,11.56,498,3
2024,232,800,1718,3,9,0,4922,1789,1336,0,1,158,1,5.17,143,11.3,502,3
2012,82,1870,1190,5,4,0,5044,1943,1420,0,1,237,1,5.33,125,12.57,323,0
2016,152,1628,1457,4,8,1,4560,1619,1362,0,0,176,1,3.54,79,10.66,313,1
2013,240,2141,1127,4,8,0,4462,1691,1431,0,0,224,1,5.17,99,9.67,415,3
2017,171,1846,1532,5,4,1,5009,1819,1486,0,0,224,1,4.17,96,11.96,388,1
2013,149,1229,1427,3,6,0,4645,1793,1531,0,0,174,0,4.26,80,11.81,428,1
2017,132,2273,1459,4,9,1,4292,1878,1559,2,1,150,1,4.68,109,12.55,475,3
2015,118,2147,1746,4,6,0,4083,1884,1504,0,1,179,1,6.22,141,11.57,320,0
2018,131,2098,1523,5,7,1,4317,1936,1385,1,1,221,1,4.56,91,13.09,402,3
2024,118,2304,1741,2,2,1,5173,1719,1485,0,0,266,0,5.4,106,13.22,275,1
2008,170,2350,1563,4,4,0,4316,1830,1400,0,1,312,1,6.78,152,12.98,433,2
2016,124,1789,1105,5,2,0,5200,1763,1485,0,0,122,1,3.5,75,11.3,490,0
2013,122,1121,1470,3,3,0,4497,1858,1357,0,0,246,1,3.68,75,12.66,180,0
2012,92,1108,1527,5,3,0,4432,1796,1549,0,1,193,1,3.94,95,13.25,270,0
2009,138,2475,1043,4,7,0,4905,1851,1475,1,1,220,1,4.72,89,11.4,419,2
2006,104,2155,1738,4,3,1,4423,1724,1419,0,0,238,1,5.69,117,13.24,232,0
2013,133,1851,1422,4,6,0,4615,1795,1333,1,1,265,1,5.16,109,12.34,383,2
2021,182,1583,1497,5,2,0,4178,1742,1464,0,0,243,0,5.61,141,11.89,425,2
2006,155,1816,1181,4,6,0,4116,1761,1400,1,1,218,1,4.44,84,11.49,381,2
2013,160,1812,1423,4,7,0,4271,1746,1462,1,1,309,1,4.25,102,12.02,437,2
2024,154,1632,1480,4,3,1,4567,1701,1385,2,0,236,1,4.01,87,11.62,371,3
2024,142,1450,1323,2,3,0,4294,1869,1398,1,0,219,1,4.83,78,11.58,472,3
2009,135,2882,1425,5,8,0,3894,1805,1491,0,1,285,1,7.1,136,12.37,340,1
2005,128,1914,875,2,8,0,4645,1867,1560,0,0,155,0,3.61,75,11.15,340,0
2018,170,1497,1745,5,8,1,4448,1704,1341,0,0,166,1,4.72,89,12.41,292,2
2005,97,1149,1126,5,6,1,4413,1629,1426,2,0,303,1,3.5,75,12.26,215,1
2011,194,1437,859,5,5,1,4310,1731,1473,2,0,208,1,3.5,77,9.9,362,3
2014,141,2160,1165,5,7,0,3806,1770,1429,0,1,118,1,4.42,107,11.39,367,2
2022,110,2179,1196,4,4,0,4988,1844,1407,2,0,265,1,4.13,85,11.21,370,3
2006,120,1691,1541,4,6,1,4351,1865,1615,0,0,288,0,5.34,117,12.97,289,0
2018,113,1826,1176,4,9,0,4661,1878,1375,1,1,175,1,4.81,104,12.84,343,2
2015,146,1647,1476,4,3,0,4928,1902,1471,1,0,145,1,4.89,113,12.16,476,1
2007,111,1246,1165,3,9,0,4847,1839,1403,0,0,217,1,3.5,77,12.07,403,0
2021,186,2451,1956,5,7,0,4561,1791,1434,0,1,240,1,6.64,146,12.43,488,2
2021,109,1986,1541,4,2,1,4502,1722,1259,0,0,185,1,3.87,78,12.64,415,1
2014,60,3038,1894,4,8,1,4593,1836,1513,1,1,167,1,6.15,135,14.7,342,0
2023,111,1422,1151,4,6,1,4778,1743,1425,1,1,249,1,3.5,75,12.16,583,2
2017,60,1731,1570,4,8,0,4678,1719,1365,0,1,250,1,4.83,97,12.91,298,0
2023,138,2241,1165,5,5,1,4362,1828,1575,2,0,129,0,3.63,75,11.61,228,3
2024,182,1677,1549,5,4,1,4638,1799,1420,0,1,156,0,3.81,87,11.98,324,2
2016,166,1106,1574,2,4,0,4616,1849,1393,0,0,201,0,4.15,98,12.32,402,1
2010,86,1326,1006,5,8,0,4713,1726,1374,0,1,183,0,3.5,76,12.71,452,0
2007,110,1850,1120,5,6,1,4563,1874,1527,0,1,231,0,3.5,81,12.01,405,0
2016,211,1972,1113,5,4,1,4921,1810,1444,1,1,248,0,3.5,75,10.96,337,3
2008,153,1753,1028,4,7,0,4561,1769,1417,0,0,325,1,3.73,81,11.43,507,1
2020,140,2302,1221,4,2,1,4773,1723,1336,1,0,240,0,4.48,90,11.23,416,3
2023,182,2296,1164,4,4,0,4513,1697,1370,0,1,272,1,4.13,102,11.12,396,3
2009,238,1961,1043,4,5,0,4323,1675,1470,1,1,131,1,4.0,103,9.63,332,3
2016,192,1813,1428,5,4,0,4208,1892,1440,1,0,180,1,4.42,96,11.47,529,3
2005,146,1674,1540,5,6,0,4451,1671,1281,1,1,279,1,6.41,133,12.69,491,1
2008,154,2076,1075,4,8,0,4665,1832,1372,0,0,136,1,4.44,107,11.26,307,1
2012,165,2260,1264,5,3,0,4890,1763,1460,0,0,295,1,5.53,132,11.55,497,2
2022,115,1830,1406,5,7,1,4472,1737,1657,1,0,250,0,3.67,81,11.95,406,1
2024,98,2025,1346,4,3,0,4340,1745,1382,0,1,227,1,4.88,93,12.25,353,2
2017,142,1638,1228,4,4,0,4343,1774,1264,0,1,212,1,3.6,82,12.34,481,2
2016,102,1094,1606,2,9,0,4897,1853,1503,1,0,153,1,4.38,98,13.08,334,0
2016,138,1300,1615,5,3,1,4532,1826,1404,1,0,158,1,3.97,81,12.25,391,2
2006,144,2183,1573,2,2,1,4346,1782,1336,0,0,189,0,4.74,103,12.48,490,0
2012,234,2024,1351,4,5,0,4727,1674,1487,1,1,194,1,5.32,116,10.66,404,3
2024,106,2595,1900,5,7,1,4093,1642,1423,1,0,289,1,6.43,140,12.95,248,2
2013,135,1828,1838,4,9,0,4536,1929,1365,2,0,161,1,6.78,149,13.02,324,2
2009,133,2232,1303,4,7,0,4486,1703,1337,1,0,183,1,4.67,100,11.79,401,1
2009,157,2462,1373,2,8,0,4458,1659,1432,2,0,120,1,5.27,134,11.8,315,3
2019,182,2297,1700,2,5,0,4145,1870,1449,1,0,228,1,6.05,133,12.99,377,3
2005,120,1496,1203,4,3,1,4802,1664,1300,0,0,219,1,3.72,82,11.96,448,0
2024,107,1708,1502,3,6,1,5017,1840,1521,0,1,281,0,3.5,80,12.86,343,1
2022,74,1865,1414,5,6,0,4092,1855,1340,1,1,328,1,4.56,92,13.84,261,2
2016,103,1307,1227,2,4,0,4537,1802,1554,0,1,249,0,4.25,92,11.97,415,0
2014,161,2037,1345,4,2,1,4698,1858,1468,2,1,170,1,4.14,80,11.77,537,3
2020,142,2312,1010,3,6,0,5194,1673,1427,2,0,232,1,3.93,85,10.94,383,3
2015,99,1560,1267,5,9,0,4372,1686,1469,1,1,235,1,3.6,75,12.38,419,1
2014,125,2786,904,5,7,0,4208,1767,1394,0,1,215,1,4.16,99,12.3,426,1
2011,141,1655,1972,3,9,0,4498,1782,1437,1,1,157,1,6.82,150,12.54,413,1
2013,160,1699,1779,2,9,0,5119,1775,1574,1,1,238,1,6.38,125,13.22,286,2
2020,116,1681,1710,2,3,1,4521,1818,1396,0,0,150,1,3.83,84,12.31,426,0
2006,130,1446,1478,5,7,1,4581,1724,1507,0,1,214,1,4.33,82,11.83,435,0
2005,67,2009,1652,5,4,0,5046,1615,1370,2,1,202,0,5.87,112,13.51,322,0
2019,94,1810,1720,4,7,1,3843,1814,1440,0,1,100,1,4.38,95,13.34,409,0
2012,205,2631,1656,4,4,0,3833,1764,1519,2,1,253,1,7.37,163,11.8,299,3
2021,60,2104,1632,4,2,1,4779,1846,1346,0,0,340,1,5.13,100,12.92,292,0
2005,126,2069,1174,4,3,0,4738,1945,1469,0,0,198,1,4.15,98,11.93,312,0
2023,149,1689,1509,3,2,0,4073,1788,1270,1,0,184,0,4.26,98,11.53,473,3
2007,125,1093,1268,5,7,1,4659,1827,1350,0,1,271,1,3.5,75,12.36,468,0
2013,108,1755,1107,5,8,1,4513,1712,1408,1,0,144,1,3.5,80,12.88,397,1
2024,138,1375,1116,4,5,0,4567,1853,1513,0,1,220,1,3.5,79,11.12,535,2
2007,140,2276,1508,4,5,0,4252,1809,1499,2,0,232,1,6.06,149,12.27,312,2
2018,137,1785,1665,4,2,0,4361,1801,1369,0,0,187,1,4.83,110,12.56,461,1
2019,65,2633,1059,5,8,0,4230,1854,1431,0,0,215,1,4.55,103,11.54,338,0
2013,134,2168,1838,5,3,1,4516,1693,1457,0,0,171,1,5.93,92,12.9,196,0
2006,106,2218,1769,5,3,0,4429,1826,1317,1,1,186,0,6.25,134,13.74,455,0
2015,118,1915,1306,5,7,0,5018,1818,1476,1,1,256,1,4.79,124,12.65,420,1
2013,149,1904,1285,4,2,1,4693,1907,1550,0,1,169,1,4.12,82,12.14,260,2
2022,166,2127,1383,5,7,0,4016,1640,1541,2,0,186,1,5.05,110,11.37,338,3
2018,176,2261,1646,4,4,0,4628,1775,1395,1,1,179,1,5.56,118,12.21,428,3
2011,120,1445,1305,4,2,1,4941,1954,1409,0,1,248,1,3.87,75,11.89,360,1
2006,177,2046,1124,4,9,1,4587,1750,1367,1,1,197,1,3.5,77,11.68,453,3
2016,187,3111,1487,2,6,1,4834,1747,1402,0,0,170,1,5.62,138,11.26,250,2
2010,185,1755,884,4,4,0,4489,1922,1422,1,0,237,1,3.5,89,9.94,580,3
2018,196,1672,1436,5,7,0,4717,1979,1496,0,0,105,0,4.66,101,11.11,376,3
2022,134,1454,1690,4,5,0,4212,1791,1449,2,1,111,1,4.11,83,13.54,310,3
2012,133,1076,1477,4,7,0,4742,1726,1368,1,0,235,1,4.88,102,11.54,337,2
2023,173,2394,1595,4,8,1,4076,1735,1508,0,0,324,1,5.15,113,12.3,313,3
2015,85,1830,1524,5,7,0,4897,1751,1512,2,0,191,1,5.24,111,13.17,244,1
2015,148,1950,1582,4,7,0,4034,1715,1393,0,0,238,1,5.77,136,12.0,269,2
2020,119,2722,1436,4,8,0,3849,1718,1422,0,1,140,1,5.45,123,12.61,383,2
2020,125,3055,1193,4,8,0,4663,1795,1434,1,0,226,0,5.19,102,11.11,457,3
2023,70,1356,1344,4,4,1,4447,1785,1310,1,0,230,1,3.5,75,12.83,270,1
2024,104,2327,1382,2,6,0,4535,1819,1453,0,1,251,1,3.93,93,12.79,417,2
2008,139,2112,1715,4,8,0,4632,1784,1496,0,1,177,0,5.88,140,12.53,346,0
2013,176,2000,1807,3,6,0,4492,1687,1598,0,1,328,1,5.97,132,12.66,582,2
2023,180,2040,1505,4,5,0,4228,1840,1457,1,0,164,1,4.94,124,11.69,433,3
2011,137,1789,1212,4,6,1,4565,1801,1419,0,1,305,0,3.5,75,12.09,451,1
2005,132,2596,1218,4,2,0,4607,1736,1430,0,0,158,1,4.95,106,11.97,414,0
2016,107,2108,1353,5,9,0,4652,1760,1491,0,1,264,1,5.03,111,12.94,428,1
2020,156,1974,1747,2,7,0,5111,1807,1506,0,0,295,1,6.22,144,12.41,375,1
2019,130,2425,1484,4,2,1,4274,1788,1373,0,1,342,1,4.95,82,12.73,305,2
2021,164,2250,1386,4,4,0,4521,1771,1458,2,0,212,0,5.49,123,12.0,530,3
2017,210,2031,1209,3,6,1,4672,1842,1494,1,1,125,1,3.82,81,11.66,513,3
2007,139,1965,1621,4,7,0,4362,1865,1282,0,0,267,0,6.55,133,12.45,476,0
2021,80,2679,1472,5,9,0,4131,1757,1552,0,0,179,1,6.45,131,12.63,281,0
2013,106,2056,1387,3,4,0,4325,1780,1425,0,1,158,1,4.83,119,12.32,377,1
2021,82,1756,1426,4,5,0,4827,1695,1512,0,0,186,0,4.23,89,12.66,451,0
2021,92,1373,1822,4,5,0,4417,1768,1439,0,1,167,1,5.14,110,12.93,388,0
2024,192,1629,1360,4,7,0,4688,1819,1423,1,1,262,1,4.04,97,11.07,226,3
2005,149,1277,1822,4,6,1,4274,1849,1436,2,0,230,1,5.37,100,12.97,375,2
2022,79,1855,1711,2,6,1,4637,1795,1465,0,0,258,1,5.0,128,14.13,263,0
2017,166,1930,1413,5,7,0,4292,1775,1512,0,1,268,1,4.99,103,12.48,277,2
2014,190,800,1621,4,8,0,4241,1725,1421,1,1,197,1,4.14,86,11.8,424,3
2020,126,1811,1369,4,4,1,4535,1798,1353,0,1,259,0,3.54,75,12.81,180,1
2024,113,2126,1193,4,7,0,4516,1696,1386,2,1,288,1,4.11,86,12.26,482,3
2015,127,1885,1333,5,7,0,4953,1792,1364,1,0,325,0,4.76,96,11.77,295,1
2006,151,1324,1173,5,6,1,4000,1783,1503,0,1,229,0,3.5,75,12.16,327,0
2019,166,2436,1528,4,3,1,4657,1710,1366,1,0,204,1,4.99,94,12.28,366,3
2009,187,1453,1404,4,7,1,4996,1807,1564,0,0,166,0,4.06,75,11.77,355,1
2009,188,1187,1542,5,8,0,4919,1765,1453,1,0,197,1,4.42,108,11.91,365,2
2008,187,1261,1607,2,4,1,4382,1829,1435,0,1,220,1,4.95,111,12.46,309,2
2008,194,1794,850,5,3,0,4290,1744,1547,0,1,234,1,3.7,86,10.35,388,2
2023,166,2293,1478,2,5,0,4348,1819,1413,2,0,143,1,5.6,130,11.69,279,3
2012,79,2384,950,2,2,1,4593,1904,1419,0,0,196,1,3.5,77,11.56,374,0
2007,135,1906,1442,4,8,1,4558,1796,1505,1,0,208,0,4.83,95,12.47,382,1
2008,153,1204,1181,4,2,0,4608,1843,1502,2,0,186,0,3.8,106,11.56,359,2
2012,125,1473,1426,2,4,1,4684,1731,1363,1,0,185,1,3.91,77,12.59,490,1
2011,176,1352,1741,4,6,0,4171,1754,1639,0,0,239,1,4.36,85,12.08,360,1
2011,126,1712,973,5,3,0,4153,1633,1488,0,0,164,0,3.5,91,11.17,321,0
2023,103,914,1448,5,4,0,4123,1770,1343,0,0,246,0,3.64,77,12.5,565,1
2022,198,1856,1380,2,2,1,4087,1693,1429,0,1,158,1,3.5,75,11.49,501,3
2016,167,2123,927,5,6,0,4469,1790,1517,1,1,232,1,4.28,86,10.85,433,3
2024,149,1726,1562,4,3,1,4596,1620,1461,1,1,156,0,3.57,75,13.01,356,3
2011,177,2031,1409,5,4,0,5200,1714,1512,1,0,286,1,5.51,127,11.62,533,3
2007,183,1331,1273,4,2,0,4664,1788,1632,1,1,261,0,4.34,98,10.39,416,2
2010,154,1073,1220,4,5,1,4505,1812,1518,0,1,296,1,4.23,79,11.44,369,2
2006,60,1482,2203,4,6,0,4937,1652,1604,0,1,172,1,7.16,169,14.88,378,0
2024,113,2379,1302,4,8,0,4274,1749,1498,0,1,145,1,5.51,113,12.41,461,2
2009,122,2315,950,4,7,0,4604,1982,1390,1,1,144,0,3.91,75,11.56,411,1
2013,101,1572,1167,4,9,0,4800,1843,1564,0,0,207,1,3.5,83,11.88,335,0
2009,148,2402,1308,4,3,0,4742,1794,1388,0,0,280,1,5.45,124,12.3,192,1
2024,188,1638,1304,4,2,0,4624,1600,1520,1,0,260,1,4.68,101,10.88,451,3
2008,121,2556,1380,5,4,0,4393,1709,1496,1,1,258,0,5.42,111,12.72,385,1
2015,95,2042,1138,5,9,0,4118,1822,1376,2,0,149,1,4.74,112,12.36,449,1
2024,221,1574,1535,5,6,0,4453,1800,1388,1,1,281,1,4.97,107,11.91,401,3
2015,122,2198,1279,4,6,0,4317,1817,1430,2,1,261,1,4.82,99,13.08,466,3
2022,91,1413,1060,4,5,0,4712,1856,1476,2,0,188,1,3.5,81,11.52,433,2
2022,150,1332,1196,5,7,0,4458,1789,1551,0,0,100,0,3.56,80,11.18,379,1
2020,157,1075,1304,3,4,0,4673,1848,1451,2,1,174,1,3.5,75,11.98,369,3
2019,112,1929,1612,3,9,1,4005,1641,1597,0,0,212,1,4.7,110,12.95,200,1
2016,172,1773,1521,4,8,1,4799,1977,1515,0,0,309,1,4.49,80,12.06,251,2
2016,121,1761,1315,3,3,1,4238,1758,1394,2,1,232,0,3.5,75,12.01,561,3
2021,103,1595,1405,3,4,1,4019,1731,1396,0,0,216,1,3.5,76,12.28,291,1
2013,147,2519,1454,4,5,0,4077,1899,1452,0,1,310,0,6.03,132,12.89,312,1
